Date,Close/Last,Volume,Open,High,Low
08/11/2023,$20.19,1522912,$20.03,$20.38,$19.97
08/10/2023,$20.19,1432446,$20.00,$20.29,$19.87
08/09/2023,$19.93,2929553,$20.85,$20.85,$19.82
08/08/2023,$20.74,1431250,$20.70,$20.895,$20.28
08/07/2023,$21.07,1441290,$20.90,$21.24,$20.48
08/04/2023,$20.98,2406033,$20.95,$21.89,$20.89
08/03/2023,$20.93,1324938,$20.88,$21.18,$20.74
08/02/2023,$20.83,2630714,$21.15,$21.15,$20.34
08/01/2023,$21.50,2574804,$21.95,$22.00,$21.26
07/31/2023,$22.20,1975391,$22.00,$22.38,$21.8493
07/28/2023,$21.93,2647747,$22.02,$22.49,$21.79
07/27/2023,$22.22,3370913,$22.94,$23.49,$22.1302
07/26/2023,$22.70,1489152,$22.70,$22.99,$22.48
07/25/2023,$22.85,1671991,$23.10,$23.10,$22.53
07/24/2023,$23.04,2970433,$22.42,$23.04,$22.20
07/21/2023,$22.18,3167916,$23.05,$23.22,$22.16
07/20/2023,$22.91,2256659,$23.01,$23.22,$22.66
07/19/2023,$23.17,2250133,$23.42,$23.58,$22.96
07/18/2023,$23.08,2345137,$22.72,$23.80,$22.68
07/17/2023,$22.82,2033970,$22.88,$23.31,$22.70
07/14/2023,$22.97,2178827,$23.49,$23.7184,$22.94
07/13/2023,$23.46,1912157,$23.54,$23.98,$23.42
07/12/2023,$23.44,1742244,$24.25,$24.31,$23.44
07/11/2023,$23.91,3063534,$23.20,$24.44,$23.20
07/10/2023,$23.54,3318214,$22.61,$23.56,$22.00
07/07/2023,$22.71,2447203,$22.97,$23.53,$22.6709
07/06/2023,$22.83,2390303,$23.52,$23.57,$22.82
07/05/2023,$23.90,2268244,$24.64,$24.85,$23.79
07/03/2023,$24.91,1806580,$24.29,$25.11,$24.21
06/30/2023,$24.25,2803299,$24.97,$25.13,$24.25
06/29/2023,$24.90,3101049,$24.96,$25.47,$24.62
06/28/2023,$24.98,3493873,$23.44,$25.10,$23.40
06/27/2023,$23.58,2141510,$23.29,$23.60,$23.00
06/26/2023,$23.02,2525247,$23.38,$24.03,$22.91
06/23/2023,$23.70,2261038,$23.78,$24.15,$23.68
06/22/2023,$24.32,1895012,$24.125,$24.33,$23.76
06/21/2023,$24.43,2404694,$24.84,$25.10,$24.10
06/20/2023,$24.58,3254039,$24.41,$24.65,$23.72
06/16/2023,$24.56,4443512,$25.02,$25.11,$24.42
06/15/2023,$24.84,5501822,$25.41,$26.1696,$24.642
06/14/2023,$25.70,7243697,$26.72,$27.08,$24.90
06/13/2023,$26.95,17160610,$26.20,$27.65,$25.03
06/12/2023,$24.30,7142290,$22.845,$24.30,$22.7415
06/09/2023,$22.68,10342630,$21.78,$23.4296,$21.50
06/08/2023,$21.44,19213300,$20.30,$22.00,$20.10
06/07/2023,$26.11,18001070,$26.20,$26.55,$25.07
06/06/2023,$24.69,3984262,$24.01,$25.2474,$24.00
06/05/2023,$24.31,4201866,$24.53,$25.84,$24.16
